DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:01:45,101.0,2.0,3.0,1738.0,587.0,22.74,35.07,0.0,55.0,0.44,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:03:45,101.0,2.0,3.0,1761.0,592.0,22.75,35.11,0.0,54.0,0.38,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:05:45,101.0,2.0,3.0,1748.0,589.0,22.76,35.15,0.0,54.0,0.49,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:07:45,101.0,2.0,3.0,1747.0,591.0,22.77,35.18,0.0,54.0,0.38,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:09:45,101.0,2.0,3.0,1771.0,590.0,24.14,35.2,0.0,54.0,0.74,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:11:45,102.0,2.0,3.0,1755.0,591.0,22.77,35.25,0.0,54.0,1.85,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:13:45,102.0,2.0,3.0,1766.0,594.0,22.78,35.27,0.0,55.0,0.88,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:15:45,102.0,2.0,3.0,1769.0,593.0,22.79,35.28,0.0,54.0,2.09,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:17:45,102.0,2.0,3.0,1781.0,596.0,22.8,35.33,0.0,54.0,1.17,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:19:45,102.0,2.0,3.0,1781.0,595.0,22.8,35.35,0.0,54.0,0.71,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:21:45,102.0,2.0,3.0,1785.0,595.0,22.81,35.4,0.0,54.0,0.98,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:23:46,102.0,2.0,4.0,1788.0,594.0,24.2,35.41,0.0,54.0,0.94,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:25:46,102.0,2.0,4.0,1787.0,598.0,22.83,35.42,0.0,54.0,0.67,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:27:46,102.0,2.0,3.0,1808.0,597.0,24.23,35.45,0.0,55.0,1.35,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:29:46,102.0,2.0,3.0,1791.0,597.0,22.85,35.47,0.0,55.0,0.65,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:31:46,103.0,2.0,4.0,1812.0,600.0,22.86,35.48,0.0,55.0,1.23,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:33:46,103.0,2.0,3.0,1815.0,599.0,22.86,35.5,0.0,55.0,0.88,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:35:46,103.0,2.0,3.0,1797.0,601.0,22.88,35.56,0.0,54.0,0.86,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:37:46,195.0,2.0,3.0,1823.0,601.0,22.89,35.57,0.0,54.0,1.11,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:39:46,104.0,2.0,3.0,1820.0,603.0,24.28,35.57,0.0,55.0,0.17,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:41:46,104.0,2.0,3.0,1829.0,601.0,22.92,35.59,0.0,54.0,0.52,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:43:46,105.0,2.0,4.0,1819.0,602.0,24.3,35.58,0.0,55.0,0.5,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:45:47,105.0,2.0,3.0,1836.0,608.0,22.93,35.58,0.0,55.0,0.34,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:47:46,105.0,2.0,3.0,1842.0,605.0,22.94,35.62,0.0,54.0,0.4,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:49:47,106.0,2.0,3.0,1851.0,607.0,22.94,35.63,0.0,54.0,0.31,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:51:46,106.0,2.0,3.0,1874.0,608.0,22.96,35.63,0.0,54.0,0.46,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:53:46,107.0,2.0,3.0,1859.0,605.0,22.97,35.63,0.0,54.0,0.3,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:55:47,107.0,2.0,3.0,1863.0,609.0,22.97,35.63,0.0,55.0,0.51,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:57:47,107.0,2.0,3.0,1878.0,608.0,22.99,35.64,0.0,54.0,0.58,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 00:59:47,107.0,2.0,3.0,1882.0,610.0,24.38,35.67,0.0,54.0,1.34,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:01:47,107.0,2.0,3.0,1886.0,608.0,23.01,35.69,0.0,55.0,0.88,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:03:47,107.0,2.0,3.0,1896.0,606.0,23.01,35.72,0.0,55.0,0.22,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:05:47,107.0,2.0,3.0,1881.0,609.0,23.02,35.73,0.0,55.0,0.86,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:07:47,108.0,2.0,3.0,1901.0,611.0,23.03,35.72,0.0,54.0,1.33,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:09:47,108.0,2.0,3.0,1898.0,609.0,24.42,35.73,0.0,54.0,1.4,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:11:47,108.0,2.0,3.0,1897.0,609.0,23.05,35.76,0.0,54.0,1.22,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:13:47,108.0,2.0,3.0,1888.0,607.0,23.05,35.77,0.0,54.0,1.91,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:15:47,109.0,2.0,3.0,1905.0,611.0,23.06,35.77,0.0,54.0,0.68,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:17:47,110.0,2.0,3.0,1912.0,611.0,23.07,35.77,0.0,54.0,0.73,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:19:47,111.0,2.0,3.0,1924.0,614.0,23.08,35.8,0.0,55.0,1.19,0.44,0.01,0.0,0.0
Device 10000006,6b4516d0-144d-11ec-80c8-b1d8e607054f,2022-07-13 01:21:47,111.0,2.0,3.0,1928.0,614.0,23.09,35.8,0.0,54.0,1.38,0.44,0.01,0.0,0.0
