DeviceName,EntityId,TsYMD,CH2O,PM2.5,PM10,TVOC,CO2,Temperature,Humidity,Radioactivity,Sound,CO,Stink,NO2,H2S,NH3
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:01:42,41.0,10.0,19.0,1441.0,511.0,21.05,21.64,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:03:42,41.0,10.0,18.0,1428.0,514.0,23.79,21.64,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:05:42,41.0,9.0,16.0,1471.0,516.0,22.41,21.64,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:07:43,41.0,10.0,18.0,1463.0,518.0,21.02,21.63,0.0,38.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:09:43,41.0,10.0,18.0,1464.0,517.0,22.4,21.66,0.0,34.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:11:43,41.0,11.0,21.0,1440.0,515.0,23.78,21.67,0.0,29.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:13:43,41.0,10.0,19.0,1443.0,513.0,22.39,21.68,0.0,39.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:15:43,41.0,10.0,18.0,1461.0,515.0,22.38,21.68,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:17:43,41.0,10.0,18.0,1479.0,516.0,22.37,21.67,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Device 10000016,08228f50-144e-11ec-80c8-b1d8e607054f,2022-05-01 00:19:43,41.0,10.0,18.0,1474.0,515.0,20.99,21.68,0.0,36.0,0.0,0.0,0.0,0.0,0.0
