Time,Temperature,Humidity,TVOC,CO,CO2,CH2O,PM10
2022-05-01 00:02,23.27,21.45,1377.0,0.82,545.0,25.0,18.0
2022-05-01 00:04,20.51,21.46,1377.0,0.82,544.0,25.0,19.0
2022-05-01 00:06,21.87,21.46,1383.0,0.5,546.0,25.0,18.0
2022-05-01 00:08,21.87,21.48,1374.0,0.52,547.0,25.0,18.0
2022-05-01 00:10,21.86,21.48,1380.0,0.37,548.0,25.0,18.0
2022-05-01 00:12,21.85,21.49,1388.0,0.37,546.0,25.0,19.0
2022-05-01 00:14,21.86,21.51,1370.0,0.92,547.0,25.0,18.0
2022-05-01 00:16,20.46,21.5,1392.0,0.7,549.0,25.0,19.0
2022-05-01 00:18,20.46,21.51,1404.0,0.7,549.0,25.0,18.0
2022-05-01 00:20,21.84,21.52,1410.0,0.7,550.0,25.0,17.0
2022-05-01 00:22,21.83,21.52,1396.0,0.7,549.0,25.0,18.0
2022-05-01 00:24,23.21,21.53,1408.0,0.79,550.0,25.0,18.0
2022-05-01 00:26,21.83,21.53,1384.0,0.79,549.0,25.0,18.0
2022-05-01 00:28,20.44,21.54,1401.0,0.89,552.0,25.0,18.0
2022-05-01 00:30,21.82,21.54,1400.0,0.66,547.0,25.0,18.0
2022-05-01 00:32,20.43,21.55,1404.0,0.72,550.0,25.0,19.0
2022-05-01 00:34,20.43,21.55,1399.0,0.71,549.0,25.0,18.0
2022-05-01 00:36,23.19,21.55,1411.0,0.39,551.0,25.0,19.0
2022-05-01 00:38,21.81,21.55,1408.0,0.82,550.0,25.0,18.0
2022-05-01 00:40,20.43,21.56,1397.0,0.44,550.0,25.0,18.0
2022-05-01 00:42,20.41,21.56,1402.0,0.57,548.0,25.0,18.0
2022-05-01 00:44,21.78,21.57,1419.0,0.64,551.0,25.0,19.0
2022-05-01 00:46,21.78,21.57,1400.0,0.87,549.0,25.0,19.0
2022-05-01 00:48,20.39,21.58,1388.0,0.83,551.0,25.0,20.0
2022-05-01 00:50,20.39,21.58,1405.0,0.82,551.0,25.0,20.0
2022-05-01 00:52,20.38,21.59,1411.0,0.82,550.0,25.0,19.0
2022-05-01 00:54,21.75,21.58,1415.0,0.88,551.0,25.0,19.0
2022-05-01 00:56,20.37,21.58,1414.0,0.87,553.0,25.0,19.0
2022-05-01 00:58,20.36,21.59,1418.0,0.53,550.0,25.0,19.0
2022-05-01 01:00,20.37,21.6,1398.0,0.65,552.0,25.0,18.0
2022-05-01 01:02,21.73,21.6,1413.0,0.65,552.0,25.0,18.0
2022-05-01 01:04,20.35,21.6,1421.0,0.79,554.0,25.0,18.0
2022-05-01 01:06,20.35,21.61,1397.0,0.79,553.0,25.0,20.0
2022-05-01 01:08,20.33,21.61,1406.0,0.65,553.0,25.0,20.0
2022-05-01 01:10,21.71,21.62,1414.0,0.5,554.0,25.0,18.0
2022-05-01 01:12,20.33,21.61,1418.0,0.5,552.0,25.0,19.0
2022-05-01 01:14,20.32,21.62,1410.0,0.5,554.0,25.0,18.0
2022-05-01 01:16,21.69,21.62,1406.0,0.8,553.0,25.0,18.0
2022-05-01 01:18,20.3,21.62,1398.0,0.63,556.0,25.0,19.0
2022-05-01 01:20,20.31,21.63,1403.0,0.84,558.0,25.0,19.0
2022-05-01 01:22,23.05,21.63,1411.0,0.69,556.0,25.0,19.0
2022-05-01 01:24,20.28,21.63,1436.0,0.38,557.0,25.0,18.0
2022-05-01 01:26,20.29,21.64,1403.0,0.49,555.0,25.0,18.0
2022-05-01 01:28,20.28,21.63,1430.0,0.69,556.0,25.0,18.0
2022-05-01 01:30,20.29,21.64,1404.0,0.69,555.0,25.0,18.0
2022-05-01 01:32,24.41,21.63,1414.0,0.69,556.0,25.0,19.0
2022-05-01 01:34,21.65,21.64,1407.0,0.78,557.0,25.0,19.0
2022-05-01 01:36,21.64,21.64,1424.0,0.89,556.0,25.0,19.0
2022-05-01 01:38,20.25,21.65,1419.0,0.89,553.0,25.0,19.0
2022-05-01 01:40,20.25,21.65,1415.0,0.93,552.0,25.0,19.0
2022-05-01 01:42,21.62,21.65,1401.0,0.93,553.0,25.0,19.0
2022-05-01 01:44,20.24,21.66,1410.0,0.64,556.0,25.0,19.0
2022-05-01 01:46,20.23,21.65,1401.0,0.67,555.0,25.0,18.0
2022-05-01 01:48,21.62,21.65,1420.0,0.55,555.0,25.0,19.0
2022-05-01 01:50,20.23,21.67,1410.0,0.49,554.0,25.0,18.0
2022-05-01 01:52,20.23,21.66,1412.0,0.68,556.0,25.0,19.0
2022-05-01 01:54,21.6,21.67,1387.0,0.63,555.0,25.0,19.0
2022-05-01 01:56,21.6,21.67,1415.0,0.75,554.0,25.0,18.0
2022-05-01 01:58,20.22,21.67,1420.0,0.6,559.0,25.0,18.0
2022-05-01 02:00,21.59,21.67,1405.0,0.49,557.0,25.0,19.0
2022-05-01 02:02,22.98,21.68,1384.0,0.7,554.0,25.0,19.0
2022-05-01 02:04,20.21,21.68,1405.0,0.88,558.0,25.0,19.0
2022-05-01 02:06,21.58,21.67,1401.0,0.92,557.0,25.0,18.0
2022-05-01 02:08,20.2,21.68,1416.0,0.82,556.0,25.0,18.0
2022-05-01 02:10,20.2,21.68,1410.0,0.82,558.0,25.0,19.0
