Time,Temperature,Humidity,TVOC,CO,CO2,CH2O,PM10
2022-07-13 00:01:06,22.63,34.65,2424.0,0.69,600.0,98.0,5.0
2022-07-13 00:03:06,22.64,34.71,2421.0,0.7,602.0,98.0,5.0
2022-07-13 00:05:06,21.28,34.74,2431.0,1.01,598.0,98.0,5.0
2022-07-13 00:07:06,21.29,34.77,2428.0,0.58,601.0,98.0,4.0
2022-07-13 00:09:06,21.31,34.79,2441.0,0.55,603.0,98.0,5.0
2022-07-13 00:11:06,21.31,34.82,2431.0,0.62,601.0,99.0,5.0
2022-07-13 00:13:06,22.7,34.85,2444.0,0.67,607.0,99.0,5.0
2022-07-13 00:15:06,21.36,34.86,2460.0,0.79,603.0,100.0,5.0
2022-07-13 00:17:06,22.74,34.91,2449.0,0.87,603.0,100.0,5.0
2022-07-13 00:19:06,22.76,34.97,2449.0,0.66,605.0,99.0,5.0
2022-07-13 00:21:06,21.4,35.01,2454.0,0.82,608.0,99.0,5.0
2022-07-13 00:23:06,21.4,35.02,2479.0,0.73,612.0,100.0,5.0
2022-07-13 00:25:06,22.79,35.02,2479.0,0.84,609.0,100.0,5.0
2022-07-13 00:27:06,21.43,35.05,2465.0,0.82,609.0,100.0,5.0
2022-07-13 00:29:06,21.44,35.07,2465.0,0.97,612.0,100.0,4.0
2022-07-13 00:31:07,21.45,35.06,2453.0,1.0,612.0,100.0,5.0
2022-07-13 00:33:07,21.46,35.08,2509.0,0.84,613.0,100.0,5.0
2022-07-13 00:35:07,21.46,35.1,2493.0,0.77,612.0,100.0,5.0
2022-07-13 00:37:07,22.85,35.13,2491.0,0.94,613.0,100.0,4.0
2022-07-13 00:39:07,21.48,35.11,2503.0,0.77,617.0,101.0,5.0
2022-07-13 00:41:07,21.48,35.14,2509.0,0.53,617.0,101.0,5.0
2022-07-13 00:43:07,21.49,35.15,2496.0,0.71,619.0,101.0,5.0
2022-07-13 00:45:07,22.88,35.13,2537.0,0.54,617.0,101.0,4.0
2022-07-13 00:47:07,21.51,35.18,2530.0,0.58,616.0,101.0,4.0
2022-07-13 00:49:07,21.53,35.22,2532.0,0.74,619.0,101.0,4.0
2022-07-13 00:51:07,21.52,35.19,2543.0,0.6,620.0,101.0,5.0
2022-07-13 00:53:07,21.54,35.24,2544.0,0.75,618.0,101.0,5.0
2022-07-13 00:55:07,21.55,35.21,2562.0,0.73,620.0,101.0,3.0
2022-07-13 00:57:07,22.93,35.22,2568.0,0.86,617.0,101.0,5.0
2022-07-13 00:59:07,21.58,35.26,2557.0,0.78,620.0,101.0,5.0
2022-07-13 01:01:07,21.58,35.28,2573.0,0.74,621.0,101.0,4.0
2022-07-13 01:03:07,21.58,35.29,2550.0,1.1,622.0,101.0,5.0
2022-07-13 01:05:08,21.6,35.32,2566.0,0.67,621.0,102.0,4.0
2022-07-13 01:07:08,21.61,35.32,2565.0,0.47,622.0,102.0,4.0
2022-07-13 01:09:08,21.61,35.32,2583.0,0.66,621.0,102.0,5.0
2022-07-13 01:11:08,21.62,35.34,2588.0,0.57,626.0,102.0,5.0
2022-07-13 01:13:08,21.63,35.36,2600.0,0.59,623.0,102.0,5.0
2022-07-13 01:15:08,21.63,35.35,2593.0,0.81,625.0,103.0,4.0
2022-07-13 01:17:08,23.02,35.35,2596.0,0.8,624.0,103.0,4.0
2022-07-13 01:19:08,21.64,35.39,2626.0,0.61,629.0,103.0,4.0
2022-07-13 01:21:08,21.65,35.39,2622.0,0.7,626.0,104.0,4.0
2022-07-13 01:23:08,21.66,35.41,2613.0,0.59,628.0,104.0,5.0
2022-07-13 01:25:08,21.66,35.42,2634.0,1.07,629.0,105.0,4.0
2022-07-13 01:27:08,21.67,35.41,2625.0,0.88,627.0,105.0,4.0
2022-07-13 01:29:08,21.67,35.42,2667.0,0.81,630.0,106.0,5.0
2022-07-13 01:31:09,21.68,35.47,2641.0,0.9,631.0,106.0,4.0
2022-07-13 01:33:09,21.68,35.49,2653.0,0.75,627.0,106.0,5.0
2022-07-13 01:35:09,23.07,35.51,2650.0,0.78,631.0,106.0,5.0
2022-07-13 01:37:09,21.69,35.52,2667.0,0.7,625.0,106.0,5.0
2022-07-13 01:39:09,21.7,35.54,2657.0,0.79,628.0,106.0,4.0
2022-07-13 01:41:09,21.71,35.56,2672.0,0.62,633.0,106.0,4.0
2022-07-13 01:43:09,21.71,35.59,2663.0,0.75,630.0,106.0,4.0
2022-07-13 01:45:09,21.72,35.58,2639.0,1.04,630.0,106.0,5.0
2022-07-13 01:47:09,21.72,35.62,2632.0,0.71,631.0,106.0,5.0
2022-07-13 01:49:09,21.74,35.68,2673.0,0.83,635.0,107.0,5.0
2022-07-13 01:51:09,21.73,35.66,2661.0,0.82,631.0,106.0,5.0
2022-07-13 01:53:09,21.74,35.64,2675.0,0.8,633.0,107.0,5.0
2022-07-13 01:55:09,21.76,35.66,2663.0,0.85,635.0,107.0,5.0
2022-07-13 01:57:09,23.14,35.64,2716.0,0.73,637.0,107.0,5.0
2022-07-13 01:59:10,21.77,35.66,2711.0,0.62,635.0,107.0,3.0
2022-07-13 02:01:10,21.78,35.67,2691.0,0.63,633.0,107.0,4.0
2022-07-13 02:03:10,21.79,35.67,2703.0,0.61,634.0,107.0,4.0
2022-07-13 02:05:10,21.79,35.69,2727.0,0.61,635.0,107.0,4.0
2022-07-13 02:07:10,21.79,35.7,2724.0,0.98,636.0,107.0,4.0
2022-07-13 02:09:10,21.79,35.71,2723.0,1.06,637.0,108.0,4.0
2022-07-13 02:11:10,21.81,35.71,2714.0,0.7,636.0,107.0,4.0
2022-07-13 02:13:10,21.82,35.72,2729.0,0.64,636.0,108.0,5.0
2022-07-13 02:15:10,21.82,35.72,2741.0,0.69,638.0,109.0,5.0
2022-07-13 02:17:10,23.2,35.74,2739.0,1.06,635.0,109.0,4.0
2022-07-13 02:19:10,21.83,35.77,2742.0,1.06,634.0,109.0,4.0
2022-07-13 02:21:10,21.85,35.76,2730.0,1.06,635.0,110.0,5.0
2022-07-13 02:23:10,21.85,35.76,2773.0,0.63,633.0,110.0,5.0
2022-07-13 02:25:10,21.85,35.76,2798.0,0.63,635.0,110.0,5.0
2022-07-13 02:27:11,21.88,35.77,2760.0,0.95,636.0,110.0,4.0
2022-07-13 02:29:11,21.86,35.79,2766.0,1.04,634.0,110.0,4.0
2022-07-13 02:31:11,23.27,35.81,2767.0,0.77,636.0,110.0,5.0
2022-07-13 02:33:11,21.88,35.82,2784.0,0.62,636.0,110.0,5.0
2022-07-13 02:35:11,21.9,35.83,2820.0,0.69,640.0,110.0,5.0
2022-07-13 02:37:11,21.91,35.85,2782.0,0.86,638.0,110.0,4.0
2022-07-13 02:39:11,21.9,35.88,2769.0,0.93,640.0,111.0,4.0
2022-07-13 02:41:11,21.9,35.9,2760.0,0.73,636.0,111.0,4.0
2022-07-13 02:43:11,23.28,35.9,2778.0,0.73,636.0,111.0,4.0
2022-07-13 02:45:12,21.93,35.93,2797.0,0.78,637.0,112.0,5.0
2022-07-13 02:47:11,21.91,35.93,2794.0,0.99,640.0,112.0,5.0
2022-07-13 02:49:12,21.92,35.96,2826.0,0.71,639.0,112.0,4.0
2022-07-13 02:51:11,21.93,35.99,2813.0,0.89,641.0,112.0,5.0
2022-07-13 02:53:11,21.94,35.98,2780.0,0.95,636.0,112.0,5.0
2022-07-13 02:55:12,21.95,36.01,2781.0,0.87,639.0,111.0,5.0
2022-07-13 02:57:12,21.96,36.02,2775.0,0.83,638.0,111.0,4.0
2022-07-13 02:59:12,23.33,36.0,2805.0,0.78,641.0,112.0,5.0
2022-07-13 03:01:12,24.71,36.04,2793.0,0.71,640.0,112.0,4.0
2022-07-13 03:03:12,21.97,36.06,2805.0,0.75,637.0,112.0,5.0
2022-07-13 03:05:12,21.97,36.05,2811.0,0.73,639.0,112.0,5.0
2022-07-13 03:07:12,21.97,36.06,2823.0,0.73,639.0,112.0,4.0
2022-07-13 03:09:12,23.35,36.06,2828.0,0.64,641.0,112.0,5.0
2022-07-13 03:11:12,21.98,36.04,2802.0,0.64,641.0,112.0,5.0
2022-07-13 03:13:12,21.98,36.06,2843.0,0.75,643.0,113.0,5.0
2022-07-13 03:15:12,21.99,36.07,2817.0,0.81,640.0,113.0,5.0
2022-07-13 03:17:12,22.0,36.07,2840.0,0.76,642.0,113.0,4.0
2022-07-13 03:19:12,22.0,36.07,2834.0,0.98,643.0,113.0,5.0
2022-07-13 03:21:12,23.38,36.08,2868.0,0.86,647.0,115.0,5.0
2022-07-13 03:23:12,23.37,36.07,2888.0,0.92,645.0,114.0,5.0
2022-07-13 03:25:13,22.01,36.05,2876.0,0.83,644.0,115.0,5.0
2022-07-13 03:27:13,23.4,36.06,2939.0,0.72,647.0,115.0,5.0
2022-07-13 03:29:13,22.03,36.05,2938.0,0.84,648.0,116.0,4.0
2022-07-13 03:31:13,22.03,36.06,2975.0,0.61,648.0,117.0,5.0
2022-07-13 03:33:13,22.02,36.1,2938.0,0.64,648.0,117.0,5.0
2022-07-13 03:35:13,22.05,36.11,2941.0,0.82,648.0,117.0,5.0
2022-07-13 03:37:13,22.03,36.1,2947.0,0.67,647.0,117.0,4.0
2022-07-13 03:39:13,22.04,36.1,3003.0,0.9,649.0,117.0,5.0
2022-07-13 03:41:13,22.05,36.09,3012.0,0.77,649.0,118.0,5.0
2022-07-13 03:43:13,22.04,36.08,2982.0,0.71,649.0,119.0,5.0
2022-07-13 03:45:13,23.42,36.1,3009.0,0.74,648.0,119.0,5.0
2022-07-13 03:47:13,23.43,36.09,3026.0,0.65,646.0,119.0,5.0
2022-07-13 03:49:13,22.06,36.1,3048.0,0.87,649.0,120.0,5.0
2022-07-13 03:51:14,22.07,36.09,3040.0,0.75,649.0,120.0,5.0
2022-07-13 03:53:14,22.07,36.1,3049.0,0.66,647.0,120.0,5.0
2022-07-13 03:55:14,23.44,36.1,3027.0,0.77,652.0,120.0,5.0
2022-07-13 03:57:14,22.07,36.1,3038.0,0.88,651.0,120.0,5.0
2022-07-13 03:59:14,22.07,36.1,3043.0,0.83,654.0,120.0,5.0
2022-07-13 04:01:14,22.09,36.11,3077.0,1.04,654.0,121.0,5.0
2022-07-13 04:03:14,22.09,36.13,3085.0,1.04,658.0,121.0,4.0
2022-07-13 04:05:14,22.09,36.15,3089.0,0.8,656.0,121.0,5.0
2022-07-13 04:07:14,23.48,36.14,3115.0,0.69,650.0,121.0,5.0
2022-07-13 04:09:14,22.1,36.18,3073.0,0.86,650.0,121.0,5.0
