Time,Temperature,Humidity,TVOC,CO,CO2,CH2O,PM10
2022-07-13 00:01:06,22.63,36.52,2424.0,0.69,600.0,55.0,5.0
2022-07-13 00:03:06,22.64,36.55,2421.0,0.7,602.0,55.0,5.0
2022-07-13 00:05:06,21.28,36.58,2431.0,1.01,598.0,55.0,5.0
2022-07-13 00:07:06,21.29,36.63,2428.0,0.58,601.0,55.0,4.0
2022-07-13 00:09:06,21.31,36.65,2441.0,0.55,603.0,55.0,5.0
2022-07-13 00:11:06,21.31,36.68,2431.0,0.62,601.0,55.0,5.0
2022-07-13 00:13:06,22.7,36.7,2444.0,0.67,607.0,55.0,5.0
2022-07-13 00:15:06,21.36,36.69,2460.0,0.79,603.0,55.0,5.0
2022-07-13 00:17:06,22.74,36.74,2449.0,0.87,603.0,55.0,5.0
2022-07-13 00:19:06,22.76,36.79,2449.0,0.66,605.0,55.0,5.0
2022-07-13 00:21:06,21.4,36.84,2454.0,0.82,608.0,55.0,5.0
2022-07-13 00:23:06,21.4,36.83,2479.0,0.73,612.0,55.0,5.0
2022-07-13 00:25:06,22.79,36.84,2479.0,0.84,609.0,55.0,5.0
2022-07-13 00:27:06,21.43,36.88,2465.0,0.82,609.0,55.0,5.0
2022-07-13 00:29:06,21.44,36.91,2465.0,0.97,612.0,55.0,4.0
2022-07-13 00:31:07,21.45,36.92,2453.0,1.0,612.0,55.0,5.0
2022-07-13 00:33:07,21.46,36.96,2509.0,0.84,613.0,56.0,5.0
2022-07-13 00:35:07,21.46,37.01,2493.0,0.77,612.0,55.0,5.0
2022-07-13 00:37:07,22.85,37.01,2491.0,0.94,613.0,56.0,4.0
2022-07-13 00:39:07,21.48,36.98,2503.0,0.77,617.0,56.0,5.0
2022-07-13 00:41:07,21.48,37.02,2509.0,0.53,617.0,56.0,5.0
2022-07-13 00:43:07,21.49,37.02,2496.0,0.71,619.0,56.0,5.0
2022-07-13 00:45:07,22.88,37.01,2537.0,0.54,617.0,56.0,4.0
2022-07-13 00:47:07,21.51,37.09,2530.0,0.58,616.0,56.0,4.0
2022-07-13 00:49:07,21.53,37.1,2532.0,0.74,619.0,56.0,4.0
2022-07-13 00:51:07,21.52,37.07,2543.0,0.6,620.0,56.0,5.0
2022-07-13 00:53:07,21.54,37.12,2544.0,0.75,618.0,56.0,5.0
2022-07-13 00:55:07,21.55,37.09,2562.0,0.73,620.0,56.0,3.0
2022-07-13 00:57:07,22.93,37.1,2568.0,0.86,617.0,57.0,5.0
2022-07-13 00:59:07,21.58,37.13,2557.0,0.78,620.0,57.0,5.0
2022-07-13 01:01:07,21.58,37.16,2573.0,0.74,621.0,57.0,4.0
2022-07-13 01:03:07,21.58,37.19,2550.0,1.1,622.0,57.0,5.0
2022-07-13 01:05:08,21.6,37.2,2566.0,0.67,621.0,57.0,4.0
2022-07-13 01:07:08,21.61,37.2,2565.0,0.47,622.0,57.0,4.0
2022-07-13 01:09:08,21.61,37.21,2583.0,0.66,621.0,57.0,5.0
2022-07-13 01:11:08,21.62,37.23,2588.0,0.57,626.0,57.0,5.0
2022-07-13 01:13:08,21.63,37.25,2600.0,0.59,623.0,57.0,5.0
2022-07-13 01:15:08,21.63,37.24,2593.0,0.81,625.0,57.0,4.0
2022-07-13 01:17:08,23.02,37.24,2596.0,0.8,624.0,57.0,4.0
2022-07-13 01:19:08,21.64,37.27,2626.0,0.61,629.0,57.0,4.0
2022-07-13 01:21:08,21.65,37.25,2622.0,0.7,626.0,57.0,4.0
2022-07-13 01:23:08,21.66,37.29,2613.0,0.59,628.0,57.0,5.0
2022-07-13 01:25:08,21.66,37.31,2634.0,1.07,629.0,57.0,4.0
2022-07-13 01:27:08,21.67,37.27,2625.0,0.88,627.0,57.0,4.0
2022-07-13 01:29:08,21.67,37.33,2667.0,0.81,630.0,58.0,5.0
2022-07-13 01:31:09,21.68,37.35,2641.0,0.9,631.0,57.0,4.0
2022-07-13 01:33:09,21.68,37.38,2653.0,0.75,627.0,57.0,5.0
2022-07-13 01:35:09,23.07,37.38,2650.0,0.78,631.0,57.0,5.0
2022-07-13 01:37:09,21.69,37.38,2667.0,0.7,625.0,58.0,5.0
2022-07-13 01:39:09,21.7,37.42,2657.0,0.79,628.0,58.0,4.0
2022-07-13 01:41:09,21.71,37.46,2672.0,0.62,633.0,57.0,4.0
2022-07-13 01:43:09,21.71,37.49,2663.0,0.75,630.0,57.0,4.0
2022-07-13 01:45:09,21.72,37.47,2639.0,1.04,630.0,58.0,5.0
2022-07-13 01:47:09,21.72,37.49,2632.0,0.71,631.0,58.0,5.0
2022-07-13 01:49:09,21.74,37.54,2673.0,0.83,635.0,58.0,5.0
2022-07-13 01:51:09,21.73,37.51,2661.0,0.82,631.0,58.0,5.0
2022-07-13 01:53:09,21.74,37.53,2675.0,0.8,633.0,58.0,5.0
2022-07-13 01:55:09,21.76,37.54,2663.0,0.85,635.0,58.0,5.0
2022-07-13 01:57:09,23.14,37.51,2716.0,0.73,637.0,58.0,5.0
2022-07-13 01:59:10,21.77,37.55,2711.0,0.62,635.0,58.0,3.0
2022-07-13 02:01:10,21.78,37.55,2691.0,0.63,633.0,58.0,4.0
2022-07-13 02:03:10,21.79,37.53,2703.0,0.61,634.0,58.0,4.0
2022-07-13 02:05:10,21.79,37.57,2727.0,1.19,635.0,58.0,4.0
2022-07-13 02:07:10,21.79,37.59,2724.0,0.98,636.0,58.0,4.0
2022-07-13 02:09:10,21.79,37.59,2723.0,1.06,637.0,58.0,4.0
2022-07-13 02:11:10,21.81,37.6,2714.0,0.7,636.0,58.0,4.0
